"","oil","gas_total","period","well_name"
"1",6775.163,149300.007319388,1991-04-01,"FIELD11A"
"2",6996.084,144680.651817989,1991-03-01,"FIELD11A"
"3",6982.307,143532.148837064,1991-02-01,"FIELD11A"
"4",5627.342,128712.923608993,1990-12-01,"FIELD11A"
"5",329.504,8999.99998602854,1992-10-01,"FIELD11A"
"6",1458.814,36370.0161785318,1992-09-01,"FIELD11A"
"7",4275.441,106687.117556951,1992-08-01,"FIELD11A"
"8",6547.479,163716.142236222,1992-07-01,"FIELD11A"
"9",6244.723,156033.357003113,1992-06-01,"FIELD11A"
"10",5691.863,142190.326744455,1992-05-01,"FIELD11A"
"11",5301.882,132483.340049564,1992-04-01,"FIELD11A"
"12",6814.694,171174.204974776,1992-03-01,"FIELD11A"
"13",6455.287,161351.742179483,1992-02-01,"FIELD11A"
"14",6580.348,164493.552942559,1992-01-01,"FIELD11A"
"15",6646.695,168500.018616321,1991-12-01,"FIELD11A"
"16",5163.297,132113.352131993,1991-11-01,"FIELD11A"
"17",5597.516,150338.725886076,1991-10-01,"FIELD11A"
"18",6378.277,175596.673441822,1991-09-01,"FIELD11A"
"19",7041.533,216983.896816371,1991-08-01,"FIELD11A"
"20",6787.303,194264.526240751,1991-07-01,"FIELD11A"
"21",6507.427,193063.353925165,1991-06-01,"FIELD11A"
"22",6505.276,194319.3759726,1991-05-01,"FIELD11A"
"23",6894.027,139280.657489741,1991-01-01,"FIELD11A"
"24",3903.031,87336.6871709215,1990-11-01,"FIELD11A"
"25",6943.939,169367.760063286,1990-10-01,"FIELD11A"
"26",4530.124,110820.017950747,1990-09-01,"FIELD11A"
"27",2161.256,54416.1442936873,1990-07-01,"FIELD11A"
"28",5522.025,128760.014524875,1990-06-01,"FIELD11A"
"29",5764.094,138374.206913484,1990-05-01,"FIELD11A"
"30",3713.498,93183.3514373115,1990-04-01,"FIELD11A"
"31",3395.193,84848.4009103427,1990-03-01,"FIELD11A"
"32",2897.801,69214.3017878938,1990-02-01,"FIELD11A"
"33",2795.512,65964.5188887629,1990-01-01,"FIELD11A"
"34",2627.107,60612.9180513408,1989-12-01,"FIELD11A"
"35",2564.142,59290.0116122557,1989-11-01,"FIELD11A"
"36",2697.107,62270.9826866888,1989-10-01,"FIELD11A"
"37",4209.553,98793.3434998856,1989-09-01,"FIELD11A"
"38",4051.646,95345.1727735311,1989-08-01,"FIELD11A"
"39",4224.92,102506.474959801,1989-07-01,"FIELD11A"
"40",3187.251,72920.0142340024,1989-06-01,"FIELD11A"
"41",5800.819,132741.957809489,1989-05-01,"FIELD11A"
"42",5720.154,125170.004713941,1989-04-01,"FIELD11A"
"43",5196.592,116219.360991523,1989-03-01,"FIELD11A"
"44",4092.413,102810.711159586,1989-02-01,"FIELD11A"
"45",4830.566,113616.136650627,1989-01-01,"FIELD11A"
"46",4637.409,109290.341897847,1988-12-01,"FIELD11A"
"47",6201.743,147030.015629187,1988-11-01,"FIELD11A"
"48",5478.822,125025.815331095,1988-10-01,"FIELD11A"
"49",5224.518,124066.667103331,1988-09-01,"FIELD11A"
"50",3938.023,94838.7259722332,1988-08-01,"FIELD11A"
"51",3628.403,100048.402774536,1988-07-01,"FIELD11A"
"52",4566.185,110566.667124288,1988-06-01,"FIELD11A"
"53",4837.465,106600.014936834,1988-05-01,"FIELD11A"
"54",4431.583,110553.329889543,1988-04-01,"FIELD11A"
"55",4882.508,122696.78301575,1988-03-01,"FIELD11A"
"56",5251.766,126713.810873291,1988-02-01,"FIELD11A"
"57",5148.1,122251.613870477,1988-01-01,"FIELD11A"
"58",5210.795,117077.418076954,1987-12-01,"FIELD11A"
"59",5328.928,128690.0152801,1987-11-01,"FIELD11A"
"60",5328.475,130138.733468593,1987-10-01,"FIELD11A"
"61",1544.356,36706.6751676641,1987-09-01,"FIELD11A"
"62",1663.754,33790.3231371541,1987-08-01,"FIELD11A"
"63",4658.104,99212.9142158392,1987-07-01,"FIELD11A"
"64",4939.59,116756.673155606,1987-06-01,"FIELD11A"
"65",4865.87,102706.448530434,1987-05-01,"FIELD11A"
"66",4158.816,88083.3457818593,1987-04-01,"FIELD11A"
"67",3501.39,78899.9942141476,1987-03-01,"FIELD11A"
"68",9522.533,219778.599673922,1987-02-01,"FIELD11A"
"69",9618.322,271896.803549821,1987-01-01,"FIELD11A"
"70",6966.664,153122.583391382,1986-12-01,"FIELD11A"
"71",9359.642,233243.345178957,1986-11-01,"FIELD11A"
"72",4968.333,103545.165209643,1986-10-01,"FIELD11A"
"73",6663.833,143010.014502754,1986-09-01,"FIELD11A"
"74",9648.35,216838.716343894,1986-08-01,"FIELD11A"
"75",11835.578,246390.347348384,1986-07-01,"FIELD11A"
"76",11184.732,248830.013583365,1986-06-01,"FIELD11A"
"77",10675.617,241061.315037696,1986-05-01,"FIELD11A"
"78",9051.651,200420.014036073,1986-04-01,"FIELD11A"
"79",11086.483,243077.4461982,1986-03-01,"FIELD11A"
"80",5566.922,124017.877176653,1986-02-01,"FIELD11A"
"81",10267.388,228848.400686799,1986-01-01,"FIELD11A"
"82",14093.413,294612.917688083,1985-12-01,"FIELD11A"
"83",14270.927,283380.021080889,1985-11-01,"FIELD11A"
"84",15542.704,343854.866188247,1985-10-01,"FIELD11A"
"85",13089.2,283886.694416959,1985-09-01,"FIELD11A"
"86",16666.55,371232.301394557,1985-08-01,"FIELD11A"
"87",20839.122,462048.421090471,1985-07-01,"FIELD11A"
"88",20889.893,465180.037788773,1985-06-01,"FIELD11A"
"89",19148.586,432500.046523338,1985-05-01,"FIELD11A"
"90",19330.442,431616.702493901,1985-04-01,"FIELD11A"
"91",7650.223,170277.438760054,1985-03-01,"FIELD11A"
"92",927.955,26430.0101530353,1991-04-01,"FIELD12"
"93",1808.419,55200.011241047,1991-03-01,"FIELD12"
"94",1677.58,48046.4395538965,1991-02-01,"FIELD12"
"95",1067.237,30451.6253397243,1991-01-01,"FIELD12"
"96",1232.801,34806.4448602614,1990-12-01,"FIELD12"
"97",4135.334,103093.341605421,1990-11-01,"FIELD12"
"98",3085.451,63135.4960131425,1986-05-01,"FIELD12"
"99",2822.024,57123.3480952689,1986-04-01,"FIELD12"
"100",3232.146,70906.4599065385,1986-03-01,"FIELD12"
"101",3209.146,71289.3036724623,1986-02-01,"FIELD12"
"102",1247.815,27861.2851640279,1986-01-01,"FIELD12"
"103",691.472,28570.9619733166,1985-12-01,"FIELD12"
"104",1340.566,34270.0105184225,1985-11-01,"FIELD12"
"105",2561.775,56625.8211006474,1985-10-01,"FIELD12"
"106",4196.555,90576.6724411315,1985-09-01,"FIELD12"
"107",7624.049,169590.330477499,1985-08-01,"FIELD12"
"108",6261.8,139087.111843284,1985-07-01,"FIELD12"
"109",5871.021,131145.170830166,1985-03-01,"FIELD12"
"110",5763.254,128260.731885765,1985-02-01,"FIELD12"
"111",3406.231,83096.7774138547,1990-10-01,"FIELD12"
"112",3595.879,79496.6868055342,1990-09-01,"FIELD12"
"113",4150.862,93558.0682682634,1990-08-01,"FIELD12"
"114",4100.747,93329.0416130273,1990-07-01,"FIELD12"
"115",3433.811,75993.326545172,1990-06-01,"FIELD12"
"116",2530.731,61132.2773346847,1990-05-01,"FIELD12"
"117",2643.184,66330.0044277258,1990-04-01,"FIELD12"
"118",3438.897,85641.9522192369,1990-03-01,"FIELD12"
"119",4897.283,116950.020584136,1990-02-01,"FIELD12"
"120",4724.248,111458.081455004,1990-01-01,"FIELD12"
"121",4439.99,102409.68797815,1989-12-01,"FIELD12"
"122",4333.463,100173.3367017,1989-11-01,"FIELD12"
"123",4507.961,104112.917983812,1989-10-01,"FIELD12"
"124",5704.22,135463.348351213,1989-09-01,"FIELD12"
"125",5489.981,130738.710814184,1989-08-01,"FIELD12"
"126",5724.935,140551.630832176,1989-07-01,"FIELD12"
"127",6060.851,166583.336221048,1989-06-01,"FIELD12"
"128",6207.018,149451.615716042,1989-05-01,"FIELD12"
"129",5901.929,133890.007720868,1989-04-01,"FIELD12"
"130",6244.148,142629.039648705,1989-03-01,"FIELD12"
"131",6032.592,150328.588454996,1989-02-01,"FIELD12"
"132",5492.416,131870.988242012,1989-01-01,"FIELD12"
"133",4739.263,106374.216402109,1988-12-01,"FIELD12"
"134",4790.731,111826.681847092,1988-11-01,"FIELD12"
"135",4537.786,103590.330579957,1988-10-01,"FIELD12"
"136",6464.447,148393.358525205,1988-09-01,"FIELD12"
"137",3306,70177.4143741809,1988-08-01,"FIELD12"
"138",3248.783,79354.8477209549,1988-07-01,"FIELD12"
"139",3110.516,69149.9942292833,1988-06-01,"FIELD12"
"140",3075.306,66593.5493189576,1988-05-01,"FIELD12"
"141",3792.12,88313.3352098796,1988-04-01,"FIELD12"
"142",3093.567,76245.1765787612,1988-03-01,"FIELD12"
"143",3726.598,89403.4488531318,1988-02-01,"FIELD12"
"144",3985.096,96916.1347887621,1988-01-01,"FIELD12"
"145",5101.434,114974.212613179,1987-12-01,"FIELD12"
"146",4742.3,110353.35631891,1987-11-01,"FIELD12"
"147",4333.875,98377.4256571423,1987-10-01,"FIELD12"
"148",4271.194,94673.3555881359,1987-09-01,"FIELD12"
"149",3466.897,71664.5302066529,1987-08-01,"FIELD12"
"150",70.536,1682.13395495117,1987-02-01,"FIELD12"
"151",502.136,11176.6593498624,1985-04-01,"FIELD12"
"152",5738.935,127800.016791713,1985-01-01,"FIELD12"
"153",12206.879,270206.486026205,1984-12-01,"FIELD12"
"154",9443.506,207220.021576676,1984-11-01,"FIELD12"
"155",13022.118,303345.181889584,1984-10-01,"FIELD12"
"156",12330.734,288150.022206158,1984-09-01,"FIELD12"
"157",7953.554,177032.280930343,1984-08-01,"FIELD12"
"158",17153.502,382967.765395066,1984-07-01,"FIELD12"
"159",17650.017,394443.365694401,1984-06-01,"FIELD12"
"160",27027.676,583954.880917838,1984-05-01,"FIELD12"
"161",26062.206,532850.052030926,1984-04-01,"FIELD12"
"162",24759.088,519606.48941462,1984-03-01,"FIELD12"
"163",25987.935,545389.714474647,1984-02-01,"FIELD12"
"164",13164.754,254993.571679966,1984-01-01,"FIELD12"
"165",21212.249,445161.329823173,1983-12-01,"FIELD12"
"166",20781.08,443963.385628098,1983-11-01,"FIELD12"
"167",11019.73,235996.790391024,1983-10-01,"FIELD12"
"168",11890.657,256300.026031181,1983-09-01,"FIELD12"
"169",26186.061,562035.546208982,1983-08-01,"FIELD12"
"170",15012.738,315122.611456742,1983-07-01,"FIELD12"
"171",25658.82,541353.374527731,1983-06-01,"FIELD12"
"172",22012.474,599893.612675923,1983-05-01,"FIELD12"
"173",28795.962,598186.729797051,1983-04-01,"FIELD12"
"174",29719.914,617380.70960566,1983-03-01,"FIELD12"
"175",26462.312,547553.631257515,1983-02-01,"FIELD12"
"176",27934.828,577364.559626249,1983-01-01,"FIELD12"
"177",14636.973,301477.459322069,1982-12-01,"FIELD12"
"178",338.811,7003.32249913344,1982-11-01,"FIELD12"
"179",436.638,13004.3418962964,1998-09-01,"FIELD13"
"180",1971.061,45600.6568800522,1998-08-01,"FIELD13"
"181",2596.754,68299.3561576596,1998-07-01,"FIELD13"
"182",2648.614,61172.996960084,1998-06-01,"FIELD13"
"183",1648.197,36627.1331455872,1998-02-01,"FIELD13"
"184",1798.558,40030.6482048661,1998-01-01,"FIELD13"
"185",2518.834,34870.0161808604,1997-11-01,"FIELD13"
"186",3208.123,45168.7117021379,1997-10-01,"FIELD13"
